                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0346,                 4.3306,                  4.321,                      0,                      0,                      0,                      0,                 2.8795,                 4.0501,                 4.1124,                  0.091,                  0.001,                  0.001
                      1,                 2.9322,                 4.0816,                 4.2587,                      0,                      0,                      0,                      0,                 2.8026,                 3.9967,                 4.0688,               0.081079,              0.0020792,              0.0020792
                      2,                 2.9468,                 3.9291,                 4.1725,                      0,                      0,                      0,                      0,                 2.7324,                 3.9649,                 4.0318,               0.071137,              0.0031366,              0.0031366
                      3,                 2.7911,                 3.7182,                 4.1239,                      0,                      0,                      0,                      0,                 2.6686,                 3.9468,                  3.998,               0.061172,              0.0041723,              0.0041723
                      4,                 2.8782,                 3.5332,                 4.0464,                      0,                      0,                      0,                      0,                 2.6118,                 3.9245,                 3.9658,               0.051186,              0.0051862,              0.0051862
                      5,                 2.8345,                 3.4544,                 4.0007,                      0,                      0,                      0,                      0,                 2.5811,                 3.8904,                 3.9442,               0.041178,              0.0061782,              0.0061782
                      6,                  2.737,                 3.3467,                 3.8967,                      0,                      0,                      0,                      0,                 2.5786,                 3.8697,                  3.937,               0.031149,              0.0071486,              0.0071486
                      7,                 2.7625,                  3.102,                 3.7935,                0.00088,                0.02985,                0.00047,                0.00014,                   2.64,                 3.8503,                 3.9643,               0.021097,              0.0080971,              0.0080971
                      8,                   2.63,                 3.0428,                 3.6581,                0.00445,                0.14925,                0.00302,                0.00088,                 2.6684,                 3.8313,                 3.9798,               0.011024,              0.0090238,              0.0090238
                      9,                 2.5898,                 2.9538,                 3.5508,                0.53949,                0.30597,                0.10995,                0.05242,                 2.0672,                 3.3064,                 3.4626,               0.009109,               0.009109,               0.009109
                     10,                 2.6907,                 2.8082,                 3.4724,                0.75132,                   0.25,                0.24287,                 0.1194,                 1.6823,                 5.0433,                 3.0197,               0.009109,               0.009109,               0.009109
                     11,                 2.3853,                 2.6376,                 3.2056,                0.63527,                0.25746,                0.15904,                0.06845,                 1.8835,                 11.808,                 3.5088,                0.00901,                0.00901,                0.00901
                     12,                 2.3148,                  2.704,                 3.0878,                0.56436,                0.46269,                0.25227,                0.12589,                 1.7487,                  29.25,                 3.6989,               0.008911,               0.008911,               0.008911
                     13,                 2.2683,                 2.3222,                 3.0112,                0.56064,                0.46642,                0.30087,                0.11819,                 2.0969,                 42.116,                 4.4017,               0.008812,               0.008812,               0.008812
                     14,                   2.12,                 2.2377,                 2.8967,                0.72353,                0.38433,                0.33935,                0.16031,                 1.8883,                 10.029,                 3.7915,               0.008713,               0.008713,               0.008713
                     15,                 2.0951,                 2.1489,                 2.8039,                0.04928,                0.48881,                0.31691,                0.14691,                  1.615,                 56.853,                 4.2357,               0.008614,               0.008614,               0.008614
                     16,                 1.8757,                 1.9509,                 2.6294,                0.66377,                 0.4403,                0.33216,                0.17568,                 1.5482,                 12.069,                 2.8508,               0.008515,               0.008515,               0.008515
                     17,                  1.824,                  1.973,                 2.5403,                0.80462,                0.36194,                0.41102,                0.19419,                 1.4271,                 6.6564,                 2.4974,               0.008416,               0.008416,               0.008416
                     18,                 1.8528,                 1.8307,                  2.578,                0.80707,                0.30597,                 0.4359,                0.25821,                  1.708,                 2.7151,                 2.6713,               0.008317,               0.008317,               0.008317
                     19,                 1.6568,                 1.6582,                 2.3826,                0.73077,                0.45149,                0.49025,                0.29843,                 1.3973,                 7.1469,                 2.3923,               0.008218,               0.008218,               0.008218
                     20,                  1.574,                 1.6116,                  2.298,                0.89498,                0.42537,                0.46485,                0.27378,                 1.2458,                 2.9201,                 2.0095,               0.008119,               0.008119,               0.008119
                     21,                 1.5166,                 1.6167,                 2.2612,                0.87074,                0.38806,                0.41726,                0.27519,                 1.3756,                   1.79,                 2.0961,                0.00802,                0.00802,                0.00802
